feature,importance,importance_type
delivery_delay_days,0.20880590211282576,random_forest_feature_importance
is_late_delivery,0.1604747844827427,random_forest_feature_importance
delivery_time_days,0.14144104481586856,random_forest_feature_importance
is_on_time_delivery,0.13946266796467408,random_forest_feature_importance
order_total_items,0.048967616808419025,random_forest_feature_importance
total_items,0.04849650154304012,random_forest_feature_importance
freight_revenue,0.030926674670168568,random_forest_feature_importance
total_freight,0.02513343032585755,random_forest_feature_importance
distinct_products,0.024969231994087154,random_forest_feature_importance
avg_freight_value,0.019557509434777038,random_forest_feature_importance
avg_item_price,0.01785789402079224,random_forest_feature_importance
estimated_delivery_time_days,0.017808141275871707,random_forest_feature_importance
total_order_value,0.01470317745707481,random_forest_feature_importance
total_payment_value,0.013798343077226268,random_forest_feature_importance
purchase_month,0.013540526006063305,random_forest_feature_importance
item_revenue,0.012636434526067292,random_forest_feature_importance
total_revenue,0.012431357905853079,random_forest_feature_importance
avg_payment_installments,0.005725409279121746,random_forest_feature_importance
customer_state_RJ,0.0043645275329106895,random_forest_feature_importance
customer_state_SP,0.004022937888977483,random_forest_feature_importance
main_product_category_office furniture,0.0023690793553601624,random_forest_feature_importance
main_product_category_bed bath table,0.0022956606672894946,random_forest_feature_importance
used_installment_payment,0.0017701749184234003,random_forest_feature_importance
main_product_category_health beauty,0.0016305957828862728,random_forest_feature_importance
main_product_category_computers accessories,0.0015203383041161255,random_forest_feature_importance
main_product_category_watches gifts,0.0014007712480419649,random_forest_feature_importance
main_product_category_telephony,0.0013260112866715248,random_forest_feature_importance
main_product_category_sports leisure,0.0011754372948594913,random_forest_feature_importance
customer_state_MG,0.001121604594827154,random_forest_feature_importance
customer_state_RS,0.0010621061343295097,random_forest_feature_importance
main_product_category_garden tools,0.0009889502522278844,random_forest_feature_importance
main_product_category_furniture decor,0.0009278088088887499,random_forest_feature_importance
main_product_category_unknown,0.0008969101889226973,random_forest_feature_importance
main_product_category_stationery,0.0008675355875950531,random_forest_feature_importance
main_product_category_baby,0.0007543024124480741,random_forest_feature_importance
main_product_category_audio,0.0007190127649747899,random_forest_feature_importance
customer_state_BA,0.0007094147381509569,random_forest_feature_importance
main_product_category_perfumery,0.0006909178930124689,random_forest_feature_importance
customer_state_PR,0.0006655589163047012,random_forest_feature_importance
main_product_category_housewares,0.0006195422966366575,random_forest_feature_importance
main_product_category_luggage accessories,0.000613935097147307,random_forest_feature_importance
main_product_category_books general interest,0.0005891209518867576,random_forest_feature_importance
main_product_category_fashion bags accessories,0.0005610320260067933,random_forest_feature_importance
main_product_category_auto,0.0004983405898233587,random_forest_feature_importance
customer_state_SC,0.0004932136057896625,random_forest_feature_importance
main_product_category_toys,0.0004686719053741215,random_forest_feature_importance
customer_state_PA,0.0004117936755165887,random_forest_feature_importance
main_product_category_pet shop,0.0003883931171374609,random_forest_feature_importance
main_product_category_cool stuff,0.0003732386104791985,random_forest_feature_importance
customer_state_ES,0.0003552118314264579,random_forest_feature_importance
main_product_category_home confort,0.00032601146811009227,random_forest_feature_importance
customer_state_PE,0.00032282864119283255,random_forest_feature_importance
main_product_category_food drink,0.00031491518024614833,random_forest_feature_importance
customer_state_CE,0.0003061168461828071,random_forest_feature_importance
customer_state_GO,0.0002719909522139619,random_forest_feature_importance
main_product_category_electronics,0.00026673903581753074,random_forest_feature_importance
main_product_category_home construction,0.000248202683970842,random_forest_feature_importance
customer_state_MS,0.00024309341815831459,random_forest_feature_importance
customer_state_MT,0.0002329998089897443,random_forest_feature_importance
main_product_category_construction tools construction,0.00023293421527276244,random_forest_feature_importance
customer_state_AM,0.000212717701201378,random_forest_feature_importance
customer_state_DF,0.00020789234776755563,random_forest_feature_importance
main_product_category_home appliances,0.00020482018231548344,random_forest_feature_importance
main_product_category_construction tools safety,0.0001986375727709049,random_forest_feature_importance
main_product_category_air conditioning,0.00018876591560302469,random_forest_feature_importance
customer_state_PI,0.00018531987832122186,random_forest_feature_importance
main_product_category_fashion male clothing,0.00017598716490944643,random_forest_feature_importance
main_product_category_drinks,0.0001729704012795201,random_forest_feature_importance
main_product_category_consoles games,0.00016212944645732432,random_forest_feature_importance
customer_state_MA,0.0001476185455198445,random_forest_feature_importance
customer_state_RN,0.00014134772474670392,random_forest_feature_importance
customer_state_AL,0.00013870034337420788,random_forest_feature_importance
main_product_category_musical instruments,0.00013650480567563777,random_forest_feature_importance
main_product_category_small appliances,0.00013638621469897955,random_forest_feature_importance
customer_state_PB,0.00011946559517611699,random_forest_feature_importance
main_product_category_kitchen dining laundry garden furniture,0.00010981848858838505,random_forest_feature_importance
main_product_category_fashion underwear beach,0.00010232979859299211,random_forest_feature_importance
main_product_category_food,8.904334050882183e-05,random_forest_feature_importance
main_product_category_furniture living room,8.360761530670563e-05,random_forest_feature_importance
customer_state_RO,8.065314853635943e-05,random_forest_feature_importance
main_product_category_computers,8.013906199095249e-05,random_forest_feature_importance
customer_state_TO,7.177360779940016e-05,random_forest_feature_importance
customer_state_SE,6.977965513415431e-05,random_forest_feature_importance
main_product_category_art,6.629339082988279e-05,random_forest_feature_importance
main_product_category_market place,5.8447555184867315e-05,random_forest_feature_importance
main_product_category_construction tools lights,5.7322994629075585e-05,random_forest_feature_importance
main_product_category_books technical,5.677533687100179e-05,random_forest_feature_importance
main_product_category_agro industry and commerce,5.302831641972412e-05,random_forest_feature_importance
main_product_category_home appliances 2,4.809849665916574e-05,random_forest_feature_importance
main_product_category_fixed telephony,4.340496901451418e-05,random_forest_feature_importance
main_product_category_costruction tools garden,3.475739084894984e-05,random_forest_feature_importance
main_product_category_industry commerce and business,3.21221353361668e-05,random_forest_feature_importance
main_product_category_fashion shoes,3.068433186881497e-05,random_forest_feature_importance
main_product_category_costruction tools tools,2.3563471122912093e-05,random_forest_feature_importance
main_product_category_signaling and security,1.9382472950685937e-05,random_forest_feature_importance
customer_state_AP,1.9371800091566206e-05,random_forest_feature_importance
customer_state_AC,1.6681195843085152e-05,random_forest_feature_importance
main_product_category_cine photo,1.14554727822667e-05,random_forest_feature_importance
main_product_category_books imported,9.595221185398192e-06,random_forest_feature_importance
main_product_category_tablets printing image,9.426674500131975e-06,random_forest_feature_importance
main_product_category_furniture bedroom,8.592751982241445e-06,random_forest_feature_importance
main_product_category_furniture mattress and upholstery,6.418041465684695e-06,random_forest_feature_importance
main_product_category_small appliances home oven and coffee,6.288366530132204e-06,random_forest_feature_importance
main_product_category_dvds blu ray,4.841926393650364e-06,random_forest_feature_importance
main_product_category_music,4.181622013020977e-06,random_forest_feature_importance
main_product_category_fashio female clothing,3.2090156124424205e-06,random_forest_feature_importance
customer_state_RR,2.477750511959185e-06,random_forest_feature_importance
main_product_category_arts and craftmanship,1.5061251456929673e-06,random_forest_feature_importance
main_product_category_diapers and hygiene,9.916697246380183e-07,random_forest_feature_importance
main_product_category_christmas supplies,4.2719078421396104e-08,random_forest_feature_importance
main_product_category_fashion sport,0.0,random_forest_feature_importance
main_product_category_flowers,0.0,random_forest_feature_importance
main_product_category_fashion childrens clothes,0.0,random_forest_feature_importance
main_product_category_cds dvds musicals,0.0,random_forest_feature_importance
main_product_category_la cuisine,0.0,random_forest_feature_importance
main_product_category_home comfort 2,0.0,random_forest_feature_importance
main_product_category_security and services,0.0,random_forest_feature_importance
main_product_category_party supplies,0.0,random_forest_feature_importance
